date,ticker,company,sector,open_price,high_price,low_price,close_price,volume,price_change,daily_return,price_range,price_range_pct
2021-01-01,ASIANPAINT.NS,Asian Paints,Consumer,2759.0,2792.0,2750.0,2775.55,1246698,,,42.0,1.5273
2021-01-04,ASIANPAINT.NS,Asian Paints,Consumer,2781.1001,2791.1001,2745.0,2753.7,1360486,-21.8501,-0.7872,46.1001,1.6794
2021-01-05,ASIANPAINT.NS,Asian Paints,Consumer,2753.7,2804.6001,2732.0,2793.8501,1299589,40.1501,1.458,72.6001,2.6574
2021-01-06,ASIANPAINT.NS,Asian Paints,Consumer,2801.3,2822.45,2780.0,2805.3501,1697884,11.5,0.4116,42.45,1.527
2021-01-07,ASIANPAINT.NS,Asian Paints,Consumer,2801.0,2831.8501,2781.5,2792.25,1142806,-13.1001,-0.467,50.3501,1.8102
2021-01-08,ASIANPAINT.NS,Asian Paints,Consumer,2818.0,2849.8,2789.05,2844.7,1660967,52.45,1.8784,60.75,2.1782
2021-01-11,ASIANPAINT.NS,Asian Paints,Consumer,2845.0,2873.45,2824.6001,2849.3,1517995,4.6001,0.1617,48.8499,1.7294
2021-01-12,ASIANPAINT.NS,Asian Paints,Consumer,2849.6001,2850.0,2712.1499,2720.55,6674890,-128.75,-4.5187,137.8501,5.0827
2021-01-13,ASIANPAINT.NS,Asian Paints,Consumer,2760.0,2763.0,2678.0,2703.7,2862676,-16.8501,-0.6194,85.0,3.174
2021-01-14,ASIANPAINT.NS,Asian Paints,Consumer,2713.0,2736.6499,2648.0,2663.8999,2124950,-39.8,-1.4721,88.6499,3.3478
2021-01-15,ASIANPAINT.NS,Asian Paints,Consumer,2660.8999,2661.8501,2580.55,2590.8999,2570436,-73.0,-2.7403,81.3,3.1505
2021-01-18,ASIANPAINT.NS,Asian Paints,Consumer,2592.0,2619.8501,2555.3999,2588.2,2395168,-2.7,-0.1042,64.4502,2.5221
2021-01-19,ASIANPAINT.NS,Asian Paints,Consumer,2615.0,2676.6001,2590.0,2645.05,2558693,56.8501,2.1965,86.6001,3.3436
2021-01-20,ASIANPAINT.NS,Asian Paints,Consumer,2654.0,2707.1499,2645.05,2697.25,2065439,52.2,1.9735,62.0999,2.3478
2021-01-21,ASIANPAINT.NS,Asian Paints,Consumer,2726.95,2816.95,2695.0,2716.3501,5015712,19.1001,0.7081,121.95,4.525
2021-01-22,ASIANPAINT.NS,Asian Paints,Consumer,2750.0,2768.8501,2590.0,2596.6499,4945564,-119.7002,-4.4067,178.8501,6.9054
2021-01-25,ASIANPAINT.NS,Asian Paints,Consumer,2612.8501,2631.5,2501.0,2513.95,3520087,-82.7,-3.1849,130.5,5.2179
2021-01-27,ASIANPAINT.NS,Asian Paints,Consumer,2525.0,2525.0,2430.55,2436.6001,2700415,-77.3499,-3.0768,94.45,3.8859
2021-01-28,ASIANPAINT.NS,Asian Paints,Consumer,2420.0,2453.95,2401.05,2441.7,3035457,5.0999,0.2093,52.8999,2.2032
2021-01-29,ASIANPAINT.NS,Asian Paints,Consumer,2456.0,2484.0,2400.0,2407.3501,2768673,-34.3499,-1.4068,84.0,3.5
2021-02-01,ASIANPAINT.NS,Asian Paints,Consumer,2426.6001,2467.75,2376.8999,2447.8,1797359,40.45,1.6803,90.8501,3.8222
2021-02-02,ASIANPAINT.NS,Asian Paints,Consumer,2460.0,2520.0,2425.1001,2463.6499,2679428,15.8499,0.6475,94.8999,3.9132
2021-02-03,ASIANPAINT.NS,Asian Paints,Consumer,2503.8501,2503.8501,2438.3501,2453.6499,2409356,-10.0,-0.4059,65.5,2.6862
2021-02-04,ASIANPAINT.NS,Asian Paints,Consumer,2456.0,2456.0,2398.0,2401.8,3478562,-51.8499,-2.1132,58.0,2.4187
