"company","sector","total_return_pct","annualized_volatility_pct","risk_return_category"
"Mahindra & Mahindra","Automobile",406.41,28.47,"High Return / High Risk"
"Bharti Airtel","Telecom",316.41,22.70,"High Return / Low Risk"
"State Bank of India","Banking",251.54,26.31,"High Return / High Risk"
"NTPC","Power",232.71,25.98,"High Return / High Risk"
"Larsen & Toubro","Infrastructure",214.84,24.07,"High Return / High Risk"
"JSW Steel","Metals",198.90,29.77,"High Return / High Risk"
"Sun Pharma","Pharmaceuticals",188.42,20.93,"High Return / Low Risk"
"Tata Steel","Metals",180.02,33.09,"High Return / High Risk"
"Titan Company","Consumer",159.94,24.20,"High Return / High Risk"
"ONGC","Oil & Gas",157.92,32.04,"High Return / High Risk"
"ICICI Bank","Banking",154.58,22.08,"High Return / Low Risk"
"Maruti Suzuki","Automobile",117.09,23.33,"High Return / High Risk"
"Axis Bank","Banking",103.49,25.15,"High Return / High Risk"
"ITC","FMCG",95.71,20.29,"Low Return / Low Risk"
"Cipla","Pharmaceuticals",82.83,23.12,"Low Return / Low Risk"
"Reliance Industries","Energy",71.21,22.73,"Low Return / Low Risk"
"HCL Technologies","IT",70.78,24.18,"Low Return / High Risk"
"Nestlé India","FMCG",39.62,18.66,"Low Return / Low Risk"
"HDFC Bank","Banking",39.11,21.28,"Low Return / Low Risk"
"Wipro","IT",35.68,25.93,"Low Return / High Risk"
"Infosys","IT",28.16,24.14,"Low Return / High Risk"
"Kotak Mahindra Bank","Banking",10.38,23.26,"Low Return / Low Risk"
"TCS","IT",9.49,20.79,"Low Return / Low Risk"
"Asian Paints","Consumer",-0.22,22.77,"Low Return / Low Risk"
"Hindustan Unilever","FMCG",-3.00,20.15,"Low Return / Low Risk"
